baker,series,episode,signature_bake,show_stopper,baker_name,baker_age,baker_occupation,hometown,technical,result
Stu,6,9,NA,NA,NA,NA,NA,NA,NA,NA
Ugnė,6,9,NA,NA,NA,NA,NA,NA,NA,NA
Alvin,6,10,NA,NA,NA,NA,NA,NA,NA,NA
Dorret,6,10,NA,NA,NA,NA,NA,NA,NA,NA
Flora,6,10,NA,NA,NA,NA,NA,NA,NA,NA
Marie,6,10,NA,NA,NA,NA,NA,NA,NA,NA
Mat,6,10,NA,NA,NA,NA,NA,NA,NA,NA
Paul,6,10,NA,NA,NA,NA,NA,NA,NA,NA
Sandy,6,10,NA,NA,NA,NA,NA,NA,NA,NA
Stu,6,10,NA,NA,NA,NA,NA,NA,NA,NA
Ugnė,6,10,NA,NA,NA,NA,NA,NA,NA,NA
Lee,7,2,NA,NA,NA,NA,NA,NA,NA,NA
Lee,7,3,NA,NA,NA,NA,NA,NA,NA,NA
Louise,7,3,NA,NA,NA,NA,NA,NA,NA,NA
Lee,7,4,NA,NA,NA,NA,NA,NA,NA,NA
Louise,7,4,NA,NA,NA,NA,NA,NA,NA,NA
Michael,7,4,NA,NA,NA,NA,NA,NA,NA,NA
Kate,7,5,NA,NA,NA,NA,NA,NA,NA,NA
Lee,7,5,NA,NA,NA,NA,NA,NA,NA,NA
Louise,7,5,NA,NA,NA,NA,NA,NA,NA,NA
Michael,7,5,NA,NA,NA,NA,NA,NA,NA,NA
Kate,7,6,NA,NA,NA,NA,NA,NA,NA,NA
Lee,7,6,NA,NA,NA,NA,NA,NA,NA,NA
Louise,7,6,NA,NA,NA,NA,NA,NA,NA,NA
Michael,7,6,NA,NA,NA,NA,NA,NA,NA,NA
Val,7,6,NA,NA,NA,NA,NA,NA,NA,NA
Kate,7,7,NA,NA,NA,NA,NA,NA,NA,NA
Lee,7,7,NA,NA,NA,NA,NA,NA,NA,NA
Louise,7,7,NA,NA,NA,NA,NA,NA,NA,NA
Michael,7,7,NA,NA,NA,NA,NA,NA,NA,NA
Rav,7,7,NA,NA,NA,NA,NA,NA,NA,NA
Val,7,7,NA,NA,NA,NA,NA,NA,NA,NA
Kate,7,8,NA,NA,NA,NA,NA,NA,NA,NA
Lee,7,8,NA,NA,NA,NA,NA,NA,NA,NA
Louise,7,8,NA,NA,NA,NA,NA,NA,NA,NA
Michael,7,8,NA,NA,NA,NA,NA,NA,NA,NA
Rav,7,8,NA,NA,NA,NA,NA,NA,NA,NA
Tom,7,8,NA,NA,NA,NA,NA,NA,NA,NA
Val,7,8,NA,NA,NA,NA,NA,NA,NA,NA
Benjamina,7,9,NA,NA,NA,NA,NA,NA,NA,NA
